Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH0001,63,20707,Graduate,9,Yes,Urban
HH0002,76,26976,Secondary,7,Yes,Urban
HH0003,53,49262,Secondary,1,No,Urban
HH0004,39,28776,Secondary,3,Yes,Rural
HH0005,67,35080,Secondary,9,Yes,Urban
HH0006,32,71842,Graduate,1,Yes,Urban
HH0007,45,66373,Primary,9,Yes,Rural
HH0008,63,11776,Graduate,8,Yes,Urban
HH0009,43,97787,Secondary,1,Yes,Urban
HH0010,47,60016,Secondary,6,No,Urban
HH0011,35,14474,Secondary,5,Yes,Urban
HH0012,35,63053,Secondary,6,Yes,Urban
HH0013,48,26959,Graduate,5,No,Urban
HH0014,77,10530,Primary,6,Yes,Rural
HH0015,60,99856,Primary,5,Yes,Urban
HH0016,64,8748,Graduate,5,Yes,Urban
HH0017,48,18545,Primary,4,Yes,Urban
HH0018,27,71199,Primary,3,Yes,Urban
HH0019,46,39766,Secondary,3,No,Rural
HH0020,77,78530,Primary,4,No,Urban
HH0021,26,98557,Graduate,9,Yes,Urban
HH0022,48,66087,Primary,2,Yes,Rural
HH0023,68,73840,Secondary,9,Yes,Urban
HH0024,54,59384,Secondary,1,No,Urban
HH0025,62,56005,Graduate,1,Yes,Urban
HH0026,26,51576,Secondary,5,Yes,Urban
HH0027,45,44353,Primary,6,Yes,Rural
HH0028,57,67003,Post-Grad,6,Yes,Urban
HH0029,36,88211,Graduate,3,No,Urban
HH0030,46,57733,Graduate,7,Yes,Urban
HH0031,68,70318,Secondary,9,No,Rural
HH0032,49,94474,Primary,8,Yes,Urban
HH0033,73,28664,Secondary,6,No,Rural
HH0034,51,72172,Secondary,8,Yes,Urban
HH0035,66,90616,Secondary,5,Yes,Rural
HH0036,52,98264,Graduate,8,No,Rural
HH0037,40,31736,Secondary,4,No,Rural
HH0038,39,99209,Post-Grad,8,No,Rural
HH0039,71,5854,Secondary,2,Yes,Urban
HH0040,75,95084,Graduate,5,No,Urban
HH0041,68,43623,Primary,9,Yes,Urban
HH0042,79,12392,Secondary,4,No,Urban
HH0043,76,60680,Graduate,6,Yes,Urban
HH0044,27,51717,Primary,1,No,Urban
HH0045,61,92092,Primary,9,No,Urban
HH0046,75,55859,Post-Grad,1,No,Urban
HH0047,31,31309,Graduate,5,Yes,Rural
HH0048,45,92455,Primary,4,Yes,Urban
HH0049,33,68734,Secondary,3,No,Rural
HH0050,63,75467,Secondary,6,Yes,Rural
HH0051,42,57662,Graduate,2,No,Rural
HH0052,28,17688,Secondary,3,No,Urban
HH0053,49,30342,Primary,5,Yes,Rural
